chapter	chapter_title	verse_number	original_text
1	Chapter - 1	1	"प्रथमोऽध्यायः - 1  
नमो नित्यानवद्याय जगतः सर्वहेतवे।  
ज्ञानाय निस्तरङ्गाय लक्ष्मीनारायणात्मने ॥ 1 ॥
(B and C add the following verses in the beginning:)"
1	Chapter - 1	2	"खगासनं (All Mss. read wrongly ऋणाधारं.)घृणाधारमीदृशं सोमभूषितम्।  
अकलङ्केन्दुसूर्याग्निं लक्ष्मीरूपमुपास्महे ॥ 2 ॥"
1	Chapter - 1	3	"वेदवेदान्त(वेदाङ्ग D. E. I.)तत्त्वज्ञं सर्वशास्त्रविशारदम्।  
सर्वसिद्धान्ततत्त्वज्ञं धर्माणामागतागमम् ॥ 3 ॥"
1	Chapter - 1	4	"जितेन्द्रियं जिताधारं रागद्वेषावशीकृतम्।  
चतुर्दशाङ्गयोगस्थं प्रसंख्यानपरायणम् ॥ 4 ॥"
1	Chapter - 1	5	"टिप्पणी  
नमस्यामः श्रियं देवीं देवो दीव्यति यत्सखः।  
त्रैगुण्यफलके चित्रे क्षिप्तैर्ब्रह्मादिपाशकैः॥"
1	Chapter - 1	6	"लक्ष्मीतन्त्रमहाम्भोधौ तत्त्वरत्नानि चिन्वताम्।  
तत्त्वप्रकाशनी टीका साहाय्यं कर्तुमीहते॥"
1	Chapter - 1	7	"विद्धे स्वर्भानुना भानौ पुरा तपनतां गतम्।  
निदानं तपसामाद्यं तेजोराशिमनामयम् ॥ 5 ॥"
1	Chapter - 1	8	"अत्रिमत्रिगुणोपेतमत्रिवर्गस्थमव्ययम्।  
प्रातः संध्यामुपासीनमृषिं हुतहुताशनम् ॥ 6 ॥"
1	Chapter - 1	9	"पतिव्रतानां परमा धर्मपत्नी यशस्विनी।  
ब्रह्मविष्णुमहेशानां जननी कारणान्तरे ॥ 7 ॥"
1	Chapter - 1	10	"देवैरभिष्टुता शश्वच्छान्तिनित्या तपस्विनी।  
विदुषी सर्वधर्मज्ञा नित्यं पतिमनुव्रता ॥ 8 ॥"
1	Chapter - 1	11	"पत्युः श्रुतवती तास्ता विविधा धर्मसंहिताः।  
प्रणिपातपुरस्कारमनसूया वचोऽब्रवीत् ॥ 9 ॥"
1	Chapter - 1	12	"अनसूया---  
भगवन् सर्वधर्मज्ञ मम नाथ जगत्पते।  
त्वत्त एव श्रुता धर्मास्ते ते बहुविधात्मकाः ॥ 10 ॥"
1	Chapter - 1	13	"ज्ञानानि च विचित्राणि फलरूपादिभेदतः।  
एतेभ्यो भगवद्धर्मो विशिष्टो विधृतो मया ॥ 11 ॥"
1	Chapter - 1	14	"त्वया कथयता तास्ता (भगवन् B. C.)भगवद्धर्मसंहिताः।  
सूचितं तत्र तत्रैव लक्ष्मीमाहात्म्यमुत्तमम् ॥ 12 ॥"
1	Chapter - 1	15	"रहस्यत्वादपृष्टत्वान्न त्वया प्रकटीकृतम्।  
तदहं श्रोतुमिच्छामि लक्ष्मीमाहात्म्यमुत्तमम् ॥ 13 ॥"
1	Chapter - 1	16	"यत्स्वभावा हि सा देवी यत्स्वरूपा यदुद्भवा।  
यत्प्रमाणा यदाधारा यदुपायाथ(च C. E.) यत्फला ॥ 14 ॥"
1	Chapter - 1	17	"तदहं श्रोतुमिच्छामि त्वत्तो ब्रह्मविदां वर।  
भवेयं कृतकृत्याहं यस्य विज्ञानयोगतः ॥ 15 ॥"
1	Chapter - 1	18	"(तन्मे B. G.)तं मे दर्शय पन्थानमुपसन्नास्म्यधीहि(स्म्यहं विभो C. E.) भो।  
(B. C. E. omit this line.)इति तस्या वचः श्रुत्वा भगवानत्रिरब्रवीत् ॥ 16 ॥"
1	Chapter - 1	19	"(सम्यक् C. D. E. G.)साधु संबोधितोऽस्म्यद्य धर्मज्ञे धर्मचारिणि।  
मया प्टष्टेन वक्तव्यमिति नोद्धाटितं पुरा ॥ 17 ॥"
1	Chapter - 1	20	"अर्हा त्वमसि कल्याणि लक्ष्मीमाहात्म्यमुत्तमम्।  
श्रोतुं श्रुतिशिरःश्रेणिहृदयस्थं सनातनम् ॥ 18 ॥"
1	Chapter - 1	21	"पुरा मलयशैलस्था मुनयो धर्मतत्पराः।  
श्रुतसात्त्वतविज्ञाना नारदाद्देवदर्शनात् ॥ 19 ॥"
1	Chapter - 1	22	"अप्टच्छन्नेतमेवार्थं भगवन्तं सनातनम्।  
नारदं ब्रह्मसंकाशं भगवद्धर्मवेदिनम् ॥ 20 ॥"
1	Chapter - 1	23	"(भगवत्तः A. B. C.)भगवंस्त्वच्छ्रुतोऽस्माभिः सात्त्वतः सत्त्वसंश्रयः।  
शुद्धो (भगवतो A. B. C. G.)भागवतो धर्मो मोक्षैकफललक्षणः ॥ 21 ॥"
1	Chapter - 1	24	"तत्र तत्त्वार्थकथने लक्ष्मीमाहात्म्यमुत्तमम्।  
सूचितं तत्र तत्रैव नाप्टष्टत्वात्प्रकाशितम् ॥ 22 ॥"
1	Chapter - 1	25	"इच्छामस्तदिदं श्रोतुं भवसागरतारकम्।  
पद्मिनीवैभवं सर्वं प्रज्ञापयुत नो भवान् ॥ 23 ॥"
1	Chapter - 1	26	"नताः स्म शिरसा पादौ तव संसारतारकौ।  
अधीहि भो मुने दिव्यं प्रपन्नास्त्वां चिरं वयम् ॥ 24 ॥"
1	Chapter - 1	27	"नारदः---  
साधु संबोधितोऽस्म्यद्य मुनयः संशितव्रताः।  
प्रसन्नः कथयाम्यद्य लक्ष्मीतन्त्रं सनातनम् ॥ 25 ॥"
1	Chapter - 1	28	"यत्र सा दृश्यते देवी स्वरूपगुणवैभवैः।  
पद्मिनी पद्मनाभस्य महिषी पद्मसंभवा ॥ 26 ॥"
1	Chapter - 1	29	"पुरा दुर्वाससः शापादभिभूते पुरंदरे।  
निःस्वाध्यायवषट्‌कारे भ्रष्टश्रीके जगत्त्रये ॥ 27 ॥"
1	Chapter - 1	30	"दरिद्रे देववर्गे च कृशे धर्मे निसंतते।  
पितामहे सुरैः सार्धं क्षीरोदार्णवमेयुषि(मीयुषि G; क्षीरार्णवमुपेयुषि I.) ॥ 28 ॥"
1	Chapter - 1	31	"(बहुवर्ष E. I.)बहून वर्षगणान् दिव्यांस्तप्त्वा तीव्रं महत्तपः।  
संबोधिते जगन्नाथे देवदेवे जनार्धने ॥ 29 ॥"
1	Chapter - 1	32	"पितामहेन देवाय कार्ये च विनिवेदिते।  
क्षीरोदे मथिते देवैस्तदादिष्टेन वर्त्मना ॥ 30 ॥"
1	Chapter - 1	33	"पारिजाते हयश्रेष्ठे गजेन्द्रेऽप्सरसां गणे।  
कालकूटे समुद्‌भूते वारुण्याममृते तथा ॥ 31 ॥"
1	Chapter - 1	34	"सह चन्द्रमसा देव्यामुत्थितायां (सुधा D. E. F. I.)महार्णवात्।  
पद्मिन्यां पद्मनाभस्य वक्षःस्थायामनन्तरम् ॥ 32 ॥"
1	Chapter - 1	35	"तयावलोकिते देववर्गे श्रियमुपेयुषि।  
तयानवेक्षिते दैत्यवर्गे चैव (पुरा G.)पराजिते ॥ 33 ॥"
1	Chapter - 1	36	"स्वाराज्यमखिलं प्राप्य मोदमाने पुरंदरे।  
बृहस्पतिरुपागम्य रहसीदं वचोऽब्रवीत् ॥ 34 ॥"
1	Chapter - 1	37	"बृहस्पतिः---  
काले संबोधयाम्येतच्छृणु वाक्यं पुरंदर।  
अन्वयव्यतिरेकाभ्यां लक्ष्म्यास्ते [^16]कथिता पुरा ॥ 35 ॥"
1	Chapter - 1	38	"महत्ता महतां नाथ तस्यामायतते(मायाति ते A. B. C.) स्थितिः।  
(A. B. C. G. omit this line.)न भ्रश्येत यथैवैषा तव राज्यस्थितेः परा ॥ 36 ॥"
1	Chapter - 1	39	"(परां यजस्व A. B. C. G.)तथा यतस्व देवेश शरणं गच्छ पद्मिनीम्।  
एषा हि श्रेयसो मूलमेषा हि परमा गतिः ॥ 37 ॥"
1	Chapter - 1	40	"श्रुतीनामभिसंधिश्च सैव देवी सनातनी।  
एषैव जगतां प्राणा एषैव जगतां क्रिया(प्रिया C.) ॥ 38 ॥"
1	Chapter - 1	41	"(एषा हि A. B. C. G.)एषैव जगतामिच्छा ज्ञानमेषा परावरा।  
एषैव सृजते काले सैषा पाति जगत्त्रयम् ॥ 39 ॥"
1	Chapter - 1	42	"जगत्संहरते चान्ते तत्तत्कारणसंस्थिता।  
मातरं जगतामेनामनाराध्य महत् कुतः ॥ 40 ॥"
1	Chapter - 1	43	"(एतत्तद्वै E. I.)एतत्तु वैष्णवं धाम यते नावर्तते यतिः(पुनः E.)।  
एषा सा परमा निष्ठा सांख्यानां विदितात्मनाम् ॥ 41 ॥"
1	Chapter - 1	44	"एषा सा योगिनां निष्ठा यत्र गत्वा न शोचति।  
एषा पाशुपती निष्ठा सैषा वेदविदां गतिः ॥ 42 ॥"
1	Chapter - 1	45	"(पाञ्च E. G.)पञ्चरात्रस्य कृत्स्नस्य सैषा निष्ठा सनातनी।  
सैषा नारायणी देवी स्थिता नारायणात्मना ॥ 43 ॥"
1	Chapter - 1	46	"पृथग्भूतापृथग्भूता ज्योत्स्नेव हिमदीधितेः।  
तैस्तैर्ज्ञानैः पृथग्भूतैरागमैश्च पृथग्विधैः ॥ 44 ॥"
1	Chapter - 1	47	"एकैवैषा परा देवी बहुधा (तदु D. F.)समुपास्यते।  
तामुपेहि महाभागां शरणं पद्मसंभवाम् ॥ 45 ॥"
1	Chapter - 1	48	"तपोविशेषै(नियमैस्तैस्तैश्च विविधैः E. F. I.) र्विविधैस्तैस्तैश्च नियमैः शुभैः।  
आराध्य महिषीं विष्णोः स्थिरीकुरु निजश्रियम् ॥ 46 ॥"
1	Chapter - 1	49	"एषा प्रसादसुमुखी स्वं पदं प्रापयिष्यति।  
अभीप्सितार्थदा देवी कामिनामपि कामदा ॥ 47 ॥"
