Ref No	Prapāthaka-Ard	Text	R̥ṣi	Chandas	Dēvata	padapāṭha--rik	Notes
1.1.1.1.0	1.1	"[ओ꣢म्। भू꣢꣯र्भुव꣣स्स्वः꣢꣯। त꣡त्स꣢वि꣣तु꣡र्वरे꣢꣯ण्यं꣣ भ꣡र्गो꣢दे꣣व꣡स्य꣢ धीमहि। धियो꣣यो꣡नᳲ꣢ प्रचो꣣द꣡या꣢त्॥ - savitā gayatri] \\n अ꣢ग्न꣣ आ꣡ या꣢हि वी꣣त꣡ये꣢ गृणा꣣नो꣢ ह꣣व्य꣡दा꣢तये। नि꣡ होता꣢꣯ सत्सि ब꣣र्हि꣡षि꣢ ॥"	विश्वामित्रो -भारद्वाजो बार्हस्पत्यः	गायत्री	सविता - अग्निः	अ꣡ग्ने꣢꣯। आ। या꣣हि। वीत꣡ये꣢। गृ꣣णानः꣢। ह꣣व्य꣡दा꣢तये। ह꣣व्य꣢। दा꣣तये। नि꣢। हो꣡ता꣢꣯। स꣣त्सि। बर्हि꣡षि꣢। १।	
1.1.1.1.1	1.1	ओ꣡म्ऽ३। त꣡त्सवितुर्वरे꣯णियोम्। भार्गो꣯दे꣯वस्यधी꣯माहीऽ᳒२᳒। धियो꣡꣯यो꣯नᳲप्रचो꣢ऽ१२१२। हि꣡म्(स्थि)आऽ᳒२᳒। दा꣡यो। आ꣢ऽ३꣡४꣡५꣡॥ 	प्रजापति 	गायत्री	सविता 		
1.1.1.1.2	1.1	"ओ꣤ग्नाइ॥ आ꣢꣯या꣯हीऽ३वो꣡इतोयाऽ᳒२᳒इ। तो꣡याऽ᳒२᳒इ। गृ꣡णा꣯नो꣢꣯ह। व्यदा꣡तोयाऽ᳒२᳒इ। तो꣡याऽ᳒२᳒इ॥ ना꣡इहो꣢꣯ता꣡साऽ२३॥ त्सा꣡ऽ२᳐इबा꣣ऽ२३४औ꣥꣯हो꣯वा॥ ही꣣ऽ२३४षी꣥॥"	गोतमो	गायत्री	अग्निः		पर्कः
1.1.1.1.3	1.1	अ꣤ग्न꣥आ꣤꣯या꣥꣯हिवी꣤॥ त꣡याइ। गृणा꣯नो꣯हव्यदा꣯ताऽ२३या꣢इ। नि꣡हो꣯ता꣯ सत्सि꣢ ब꣡र्हाऽ२३इषी꣢॥ ब꣡र्हाऽ२᳐इषा꣣ऽ२३४औ꣥꣯हो꣯वा॥ ब꣢र्ही᳐ऽ३षी꣡ऽ२३꣡४꣡५꣡॥	कश्यपो	गायत्री	अग्निः		बर्हिष्यं
1.1.1.1.4	1.1	अ꣤ग्न꣥आ꣤꣯या꣥꣯हि। वा꣤ऽ५इतया꣤इ॥ गृ꣡णा꣯नो꣯हव्यदा꣢ऽ१ता꣢ऽ३ये꣢॥ निहो᳐ता꣣ऽ२३४सा꣥॥ त्सा꣡ऽ२३इबा꣢ऽ३। हा꣡ऽ२३४इषो꣥ऽ६᳓हा꣥इ॥	गोतमो	गायत्री	अग्निः		पर्कः
1.1.1.2.0	1.1	त्व꣡म꣢ग्ने य꣣ज्ञा꣢ना꣣ꣳ हो꣢ता꣣ वि꣡ श्वे꣢षाꣳ हि꣣तः꣢। दे꣣वे꣢भि꣣र्मा꣡नु꣢षे꣣ ज꣡ने꣢ ॥	भरद्वाजो बार्हस्पत्यः	गायत्री	अग्निः	त्व꣢म्। अ꣣ग्ने। यज्ञा꣡ना꣢म्। हो꣡ता꣢꣯। वि꣡श्वे꣢꣯षाम्। हि꣣तः꣢। दे꣣वे꣡भिः꣢। मा꣡नु꣢꣯षे। ज꣡ने꣢꣯। २।	
1.1.1.2.1	1.1	त्व꣤म꣥ग्ने꣯यज्ञा꣤꣯ना꣥꣯म्। त्व꣤म꣥ग्ना꣤इ॥ य꣢ज्ञा꣡꣯नाꣳ꣯ हो꣯ता꣯। विश्वे꣯षाꣳ꣯ हाऽ२३इताः꣢॥ दे꣯वै꣡꣯भाऽ२३इर्मा꣢। नु꣣षे꣯ज꣢ना꣡। औ꣢ऽ३हो꣤वा꣥। हो꣤ऽ५इ॥ डा॥	विश्वमनाः	गायत्री	अग्निः		सौपर्ण-सुपर्णोः, वैश्वमनसम्
1.1.1.3.0	1.1	अ꣣ग्निं꣢ दू꣣तं꣡ वृ꣢णीमहे꣣ हो꣡ता꣢रं वि꣣श्व꣡वे꣢दसम्। अ꣣स्य꣢ य꣣ज्ञ꣡स्य꣢ सु꣣क्र꣡तु꣢म् ॥	मेधातिथिः काण्वः	गायत्री	अग्निः	अ꣣ग्नि꣢म्। दू꣣त꣢म्। वृ꣣णीमहे। हो꣡ता꣢꣯रम्। वि꣣श्व꣡वे꣢दसम्। वि꣣श्व꣢। वे꣣दसम्। अस्य꣢। य꣣ज्ञ꣡स्य꣢। सु꣣क्र꣡तु꣢म्। सु꣣। क्र꣡तु꣢꣯म्। ३।	
1.1.1.3.1	1.1	अ꣥ग्निन्दू꣯ताम्॥ वृ꣢णी꣡꣯महाइ। हो꣯ता꣯रांऽ२३वी꣢। श्ववे꣡꣯दसाम्॥ अस्ययाऽ२३ज्ञा꣢। आ꣡। औ꣢ऽ३हो꣯वा꣢॥ स्या꣡सुक्र꣢तुम्। इ꣡डाऽ२३भा꣢ऽ३४३। ओ꣡ऽ२३४५इ॥ डा॥	भरद्वाजो	गायत्री	अग्निः		बृहद्भारद्वाजम्- बृहदाग्नेयम्-बृहदासौरम्
1.1.1.4.0	1.1	अ꣣ग्नि꣢र्वृ꣣त्रा꣡णि꣢ जङ्घनद् द्रविण꣣स्यु꣡र्वि꣢प꣣न्य꣡या꣢। स꣡मि꣢द्धः शु꣣क्र꣡ आहु꣢꣯तः ॥	भरद्वाजो बार्हस्पत्यः	गायत्री	अग्निः	अ꣣ग्निः꣢। वृ꣣त्रा꣡णि꣢। ज꣣ङ्घनत्। द्रविणस्युः꣢। वि꣣पन्य꣡या꣢। स꣡मि꣢꣯द्धः। सम्। इ꣣द्धः। शुक्रः꣢। आ꣡हु꣢꣯तः। आ। हु꣣तः। ४।	
