Ref No	Prapāthaka-Ard	Text	R̥ṣi	Chandas	Dēvata	padapāṭha--rik	Notes
2.2.1.115.0	2.1	त꣡द्वो꣢ गाय सु꣣ते꣡ सचा꣢꣯ पुरुहू꣣ता꣢य꣣ स꣡त्व꣢ने। शं꣢꣫ यद्गवे꣣ न꣢ शा꣣कि꣡ने꣢ ॥	शंयुर्बार्हस्पत्यः	गायत्री	इन्द्रः	त꣢त्। वः꣣। गाय। सुते꣢। स꣡चा꣢꣯। पु꣣रुहूता꣡य꣣। पु꣣रु। हूता꣡य꣢। स꣡त्व꣢꣯ने। शम्। यत्। ग꣡वे꣢꣯। न꣢। शा꣣कि꣡ने꣢। ११५।	
2.2.1.115.1	2.1	ओ꣡म्॥ त꣥द्वौ꣯हो꣤वा꣥॥ गा꣡याऽ२᳐। सु꣣ता꣢इ᳐सा꣣ऽ२३४चा꣥। पु꣡रुहू꣢꣯ता꣯। यसा꣡त्वा꣢ऽ१नाऽ᳒२᳒इ॥ शं꣡यत्। हा। औ꣢ऽ३हो꣢इ᳐। गा꣣ऽ२३४वा꣥इ॥ ना꣡ऽ२᳐शा꣣ऽ२३४औ꣥꣯हो꣯वा॥ ए꣢ऽ᳐३। कि꣡नेऽ२३꣡४꣡५꣡॥	 मृगयु	गायत्री	इन्द्रः		मार्गीयवम्
2.2.1.115.2	2.1	त꣥द्वो꣯गा꣯या॥ सु꣢ताइसचाऽ᳐३। पू꣡रुऽ२३हू꣯ता꣢ऽ३४। हा꣣꣯हो꣢ऽ३। या꣡स꣢त्वा꣣ऽ२३४ना꣥इ॥ शं꣢य꣡द्गाऽ२३वे꣢॥ नशौऽ᳒२᳒। हौऽ᳒२᳒। हु꣡वोऽ२३४। वा꣥। का꣤ऽ५इनोऽ६"हा꣥इ॥	 मृगयु	गायत्री	इन्द्रः		
2.2.1.115.3	2.1	त꣥द्वो꣯गा꣯यसुते꣯सचाऽ६ए꣥॥ पु꣢रुहू꣯ता꣡꣯यसत्वने꣢꣯। पु꣡रुहू꣢꣯ता꣯। या꣡स꣪त्त्वाऽ२३ना꣢ऽ३४इ। शंय꣥त्। गौ꣢वा᳐ओ꣣ऽ२३४वा꣥॥ ना꣡ऽ२३शा꣤ऽ३॥ का꣢ऽ᳐३४५इनोऽ६"हा꣥इ॥	 मृगयु	गायत्री	इन्द्रः		
2.2.1.115.4	2.1	त꣥द्वो꣯गा꣯यसुते꣯सचाऽ६ए꣥॥ पु꣢रुहू꣯ता꣡꣯यसत्वनाइ॥ शंयद्गाऽ२३वे꣢॥ ऐऽ᳒२᳒होऽ१आऽ२३इही꣢। नशा꣡ऽ२३। का꣡ऽ२᳐इना꣣ऽ२३४औ꣥꣯हो꣯वा॥ ई꣣ऽ२३꣡४꣡५꣡॥	 मृगयु	गायत्री	इन्द्रः		ईनिधनं मार्गीयवम्
2.2.1.116.0	2.1	य꣡स्ते꣢ नू꣣न꣡ꣳ श꣡तक्रत꣣वि꣡न्द्र꣢ द्यु꣣म्नि꣡त꣢मो꣣ म꣡दः꣢। ते꣡न꣢ नू꣣नं꣡ मदे꣢꣯ मदे ॥	श्रुतकक्षः सुकक्षो वा आङ्गिरसः	गायत्री	इन्द्रः	यः꣢। ते꣣। नून꣢म्। श꣣तक्रतो। शत। क्रतो। इ꣡न्द्र꣢꣯। द्यु꣣म्नि꣡त꣢मः। म꣡दः꣢꣯। ते꣡न꣢꣯। नू꣣न꣢म्। म꣡दे꣢꣯। म꣣देः। ११६।	
2.2.1.116.1	2.1	य꣤स्ते꣯नू꣯नाऽ५ꣳशतक्र꣤ताउ॥ इ꣡न्द्रद्युम्नितमो꣯माऽ᳒२᳒दाः꣡॥ ते꣢꣯न꣡नू꣯नाऽ२३म्मा꣢॥ दा꣡इमा꣭ऽ३उवा꣢ऽ३॥ देऽ२३꣡४꣡५ः꣡॥	अश्वो	गायत्री	इन्द्रः		आश्वम्
2.2.1.117.0	2.1	गा꣢व꣣ उ꣡प꣢ वदाव꣣टे꣢ म꣢ही꣢ य꣣ज्ञ꣡स्य꣢ र꣣प्सु꣡दा꣢। उ꣣भा꣡ कर्णा꣢꣯ हिर꣣ण्य꣡या꣢ ॥	हर्यतः प्रागाथः	गायत्री	इन्द्रः	गा꣡वः꣢꣯। उ꣡प꣢꣯। व꣣द। अवटे꣢। म꣣ही꣡इति꣢। य꣣ज्ञ꣡स्य꣢। र꣣प्सु꣡दा꣢। र꣣प्सु꣢। दा꣣। उभा꣢। क꣡र्णा꣢꣯। हि꣣रण्य꣡या꣢। ११७।	
2.2.1.117.1	2.1	गा꣤꣯वः꣥। ए꣤गावाः꣥॥ उ꣢पव। दाऽ᳐३। वा꣡ऽ२᳐दा꣣ऽ२३४औ꣥꣯हो꣯वा। वा꣣ऽ२३४टे꣥॥ म꣢ही᳐या꣣ऽ२३४ज्ञा꣥॥ स्य꣣रा꣢ऽ३। स्या꣡ऽ२᳐रा꣣ऽ२३४औ꣥꣯हो꣯वा। प्सू꣣ऽ२३४दा꣥॥ उ꣢भा᳐का꣣ऽ२३४र्णा꣥॥ हि꣣रा꣢ऽ३। हा꣡ऽ२᳐इरा꣣ऽ२३४औ꣥꣯हो꣯वा॥ ण्या꣣ऽ२३४या꣥॥	द्वयोरिटन्वान्	गायत्री	इन्द्रः		ऐटते द्वे 
2.2.1.117.2	2.1	ओ꣢इ᳐गा꣣ऽ२३४वाः꣥॥ उ꣢पवऽ३दा꣡। वाटा꣢ओ꣣ऽ२३४वा꣥। म꣢ही꣡꣯यज्ञस्य꣢रप्सु꣡दा꣢ऽ३॥ ओ꣢ऊ꣣ऽ२३४भा꣥॥ का꣡र्णा꣢ओ꣣ऽ२३४वा꣥॥ हि꣢रण्य꣡याऽ२३꣡४꣡५꣡॥	द्वयोरिटन्वान्	गायत्री	इन्द्रः		
